ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
,22,8,7,8,8,8,9,8,8,8,7,8,9,9,8,9
,23,8,7,8,8,8,8,8,8,8,7,8,9,8,8,9
,24,8,7,8,8,8,8,8,8,8,7,8,9,8,8,8
2014-01-06,01,8,7,8,8,8,8,8,8,8,7,8,9,8,8,8
,02,8,7,8,8,8,7,8,8,7,7,8,9,8,8,8
,03,8,6,8,8,8,7,8,8,7,6,8,8,8,7,7
,04,8,6,8,7,7*,7*,7*,7,6*,6,8,7*,7,7,7
,05,7,6,7,7,7,7,7,7,7,6,7,8,7,7,7
,06,7,6,7,7,7,7,7,6,7,6,7,8,7,7,7
,07,7,6,7,7,7,7,7,6,7,5,7,7,7,7,7
,08,7,6,7,7,7,7,7,6,7,5,7,7,8,8,7
,09,7,7,7,7,7,7,7,7,7,6,7,6,8,8,8
,10,7,7,8,7,7,7,7,7,7,6,7,7,8,8,8
,11,7,6,7,7,7,7,7,7,7,6,7,7,9,8,8
,12,7,6,7,7,7,7,7,7,7,6,7*,8,9,8,8
,13,7,6,7,7,7,7,7,7,7,6,7*,8,8,7,8
,14,7,6,7,7,7,7,7,7,7,6,7*,,9,7,8
,15,7,7,8,7,7,7,7,7,7,6,8*,,9,8,8
,16,7,7,8,7,7,7,7,7,7,6,8*,,9,8,8
,17,7,7,8,7,7,7,7,7,7,6,7,,8,8,8
,18,7,7,7,7,7,7,7,7,7,6,7,8,8,8,8
,19,7,6,7,7,7,7,7,7,7,6,7,8,8,8,8
,20,6,6,7,7,7,7,6,7,7,6,7,8,8,8,8
,21,6,6,6,7,7,7,6,7,6,6,7,7,8,7,8
,22,6,5,6,6,6,7,6,6,6,5,6,7,8,7,7
,23,6,5,6,6,6,6,6,6,6,5,6,6,8,6,7
,24,5,5,6,6,6,6,6,6,6,5,6,6,7,6,6
2014-01-07,01,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6
,02,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5
,03,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5
,04,5,4,5,4,5*,4*,5*,5,5*,4,5,4*,5,5,4
,05,4,4,5,4,5,5,5,5,5,4,4,5,4,5,4
,06,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,07,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5
,09,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,10,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
,11,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5
,12,4,4,4,5,4,5,5,4,4,4,4,5,5*,5,5
,13,4,4,5,5,5,5,5,4,4,4,4,5,5*,5,5
,14,5,4,5,5,4,5,4,5,4,4,4,5,5*,5,5
,15,5,4,5,5,4,4,4,4,4,4,4,5,6,5,5
,16,5,4,5,5,4,4,4,4,4,4,4,5,6,5,5
,17,5,4,5,5,5,4,4,4,4,,4,5,5,5,6
,18,5,4,5,5,5,4,4,5,4,,4,5,5,5,6
,19,5,4,5,5,5,5,4,5,4,4,4,5,5,6,6
,20,4,4,5,5,4,4,4,5,4,4,4,5,5*,6,6
,21,4,4,4,5,4,4,4,5,4,4,4,5,5*,5,5*
,22,4,4,4,4,4,4,4,4,4,4,4,4,5*,5,5*
,23,4,4,4,4,4,4,4,4,4,4,4,4,5*,5,5*
,24,4,4,4,4,4,4,4,4,4,4,4,4,5*,5,5*
2014-01-08,01,4,4,4,4,3,3,3,4,4,4,4,4,5*,4,5*
,02,4,3,4,4*,3,3,3,4,4,4,4,4,4*,4,4
,03,4,3,3,4*,3,3,3,4,4,4,4,3,4*,4,4
,04,3,3,4*,4*,4*,4*,3*,3,4*,3,4*,3*,3*,4,3
,05,3,3,3,3,3,3,3,3,4,3,3,3,4*,4,3
,06,3,3,3,3,3,3,3,3,4,3,3,3,4*,3,3
,07,3,3,3,3,3,3,3,3,4,3,3,3,4*,4,3
,08,3,3,3,3,3,3,3,4,4,3,3,2,4*,4,3
,09,3,3,3,3,3,3,4,4,4,4,3,2,4*,5,4
,10,4,3,3,4,3,3,4,4,4,4,4,3,5*,6,4
,11,4,3,3,4,3,4,4,4,4,4,4,3,5*,6,4
,12,4,3,3,4,4,4,4,4,4,4,4,4,6*,6,4*
,13,4,3,4,4,4,5,4,5,6,4,4,4,6*,6,5*
,14,5,4,4,4,5,6,6,6,8,5,4,4,7*,7,6
,15,6,4,5,5,6,6,7,8,9,6,5,5,8*,8,7
,16,7,6,7,7,6,7,7,8,8,6,5,5,9,9,8
,17,8,7,8,8,7,7,7,8,7,6,5,5,10,9,9
,18,7,7,8,8,7,6,6,6,6,6,5,5,10,8,8
,19,6,6,7,7,6,5,5,6,5,5,5,4,10,8,7
,20,5,5,5,6,5,5,5,5,5,5,5,4,9,7,6
,21,5,4,5,5,5,4,4,5,5,4,4,4,8,6,5
,22,4,4,4,4,4,4,4,4,5,4,4,4,7,6,5
,23,4,4,4,4,4,4,4,4,4,4,4,4,7,5,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4
2014-01-09,01,4,3,4,4,4,4,4,4,4,4,4,3,6,4,4
,02,4,3,4,4,4,3,4,4,4,4,4,3,5,4,4
,03,3,3,4,3,3,3,3,3,4,3,3,3,4,4,3
,04,3,3,3,3,3*,3*,3*,3,4*,3,3,3*,4,3,3
,05,3,3,3,3,3,,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3
,11,3,3,4,3,3,3,4,3,3,3,3,3,6,6,4
,12,4,3,4,4,3,4,4,4,4,3,3,3,6,6,4
,13,4,3,4,4,4,4,4,4,4,,4,4,6,5,4
,14,4,3,4,4,4,4,4,4,4,,4,4,6,5,4
,15,4,4,4,4,4,4,5,5,5,,4,4,5,5,4
,16,4,4,4,4,5,4,5,5,5,4,4,4,6,5,5
,17,4,4,4,4,5,5,5,5,5,4,4,4,6,5,5
,18,4,4,5,4,5,5,5,5,5,4,4,5,7,7,5
,19,4,4,5,5,4,5,5,5,5,4,4,5,7,8,5
,20,5,4,5,5,5,5,5,5,5,4,5,5,7,8,5
,21,5,4,5,5,5,5,5,5,5,4,4,5,7,7,5
,22,4,4,5,5,4,5,5,5,5,4,4,4,6,6,4
,23,4,4,4,4,4,4,5,4,5,4,4,4,6,5,4
,24,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
2014-01-10,01,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
,02,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
,03,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4
,04,4,3,4,4,3*,3*,4*,4,4*,3,4,3*,4,4,3
,05,3,3,4,3,4,4,4,3,4,3,3,4,4,4,3
,06,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3
,07,3,3,3,3,4,3,4,3,3,3,3,3,4,4,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,09,3,3,3,4,3,3,4,3,3,3,3,3,5,4,4
,10,3,3,3,4,4,4,4,3,4,3,3,3,5,4,4
,11,3,3,4,4,4,4,4,3,4,3,3,4,6,4,4
,12,4,3,4,4,4,4,4,4,4,3,4,4,6,5,4
,13,4,4,4,4,4,4,4,4,4,3,4,4,6,5,4
,14,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5
,15,4,4,5,5,5,4,5,4,4,4,4,5,6,5,5
,16,5,4,5,5,5,5,5,4,5,4,4,5,6,5,6
,17,5,4,5,5,5,5,5,5,5,4,5,5,6,6,6
,18,5,4,5,5,5,5,5,5,5,4,5,5,6,6,6
,19,5,4,5,5,5,5,5,5,5,4,5,5,6,6,6
,20,5,4,5,5,5,5,5,5,5,4,5,5,7,6,6
,21,5,4,5,5,5,5,5,5,5,4,5,5,6,6,6
,22,5,4,5,5,5,5,5,5,5,4,5,5,6,6,5
,23,5,4,5,5,5,5,5,5,5,4,5,5,6,5,5
,24,5,4,5,5,5,5,5,5,5,4,5,5,6,5,5
2014-01-11,01,4,4,4,4,5,5,5,4,5,4,4,5,5,5,5
,02,4,4,4,4,4,4,5,4,5,4,4,5,5,5,4
,03,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,3,4,4,4*,4*,3*,4,3*,3,4,4*,4,4,3
,05,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3
,06,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3
,07,3,3,4,3,4,4,3,3,4,3,4,4,4,4,3
,08,4,3,4,4,4,3,3,3,4,3,3,3,5,4,4
,09,4,3,4,4,4,3,4,4,3,3,3,4,5,5,4
,10,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4
,11,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5
,12,4,4,5,5,4,5,5,5,4,4,4,5,6,5,5
,13,5,4,5,5,5,5,5,5,4,4,5,5,6,5,5
,14,5,4,5,5,5,5,5,5,5,4,5,6,6,6,6
,15,5,4,5,5,5,5,5,5,5,4,5,6,7,6,6
,16,5,5,5,5,5,5,5,5,6,4,5,6,7,6,6
,17,5,5,5,5,5,5,5,5,6,4,5,6,7,6,6
,18,5,5,5,5,5,5,5,5,6,4,5,5,7,6,6
,19,5,4,5,5,5,5,5,5,6,4,4,5,7,6,6
,20,5,4,5,5,4,4,5,5,5,4,4,5,6,6,6
,21,5,4,5,5,4,4,4,5,5,4,5,5,7,6,6
,22,5,4,5,5,5,4,4,5,5,4,5,4,8,6,6
,23,5,4,5,5,5,4,4,5,5,4,4,4,8,5,5
,24,4,4,4,5,5,4,4,5,5,4,4,4,7,5,5
2014-01-12,01,4,4,4,4,4,4,4,4,5,4,4,4,6,5,5
,02,4,3,4,4,4,4,4,4,5,4,4,4,5,4,4
,03,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4
,04,4,3,4,4,3*,4*,4*,4,2*,3,3,2*,4,4,4
,05,4,3,4,4,4,3,3,4,3,3,3,3,4,4,4
,06,4,3,4,3,3,3,3,3,3,3,3,2,4,4,3
,07,4,3,4,3,3,3,3,4,3,3,3,2,5,4,4
,08,4,4,4,4,3,3,3,4,3,3,3,2,5,5,4
,09,4,4,4,4,4,4,3,4,4,3,3,3,6,5,4
,10,4,4,5,4,4,4,4,4,4,4,3,3,7,6,5
,11,5,5,5,5,4,5,5,5,4,5,4,4,7,7,5
,12,6,5,6,6,5,6,6,6,6,5,5,5,8,8,6
,13,6,6,6,6,6,6,7,7,7,6,6,6,8,8,7
,14,7,6,7,7,7,7,8,8,9,6,7,6,8,9,7
,15,8,6,7,7,7,8,9,8,9,6,7,6,9,9,7
,16,8,6,7,7,8,8,9,8,9,6,7,6,9,10,8
,17,8,7,7,7,8,8,8,8,9,6,7,6,10,9,8
,18,8,6,7,7,8,8,7,7,8,6,7,6,9,9,7
,19,7,6,6,7,7,7,6,6,7,6,6,6,9,9,7
,20,6,5,6,6,6,6,6,6,6,5,5,5,8,9,6
,21,5,4,5,5,5,5,5,5,6,4,5,4,8,8,5
,22,5,4,5,5,5,4,5,5,5,4,4,4,8,7,5
,23,4,3,4,4,4,4,4,4,4,3,4,3,7,6,4
,24,4,3,4,4,4,4,4,4,4,3,3,3,6,5,4
2014-01-13,01,3,3,4,3,3,3,3,3,4,3,3,3,5,5,3
,02,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3
,03,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3
,04,3,2,3,3,3*,3*,3*,3,3*,2,3,2*,3,3,2
,05,3,2,3,3,3,3,3,2,3,2,2,3,3,3,2
,06,3,2,3,2,3,3,3,2,3,2,2,2,3,3,2
,07,2,2,3,2,3,3,3,2,3,2,2,2,3,3,2
,08,2,2,3,2,3,3,3,2,3,2,2,2,3,4,3
,09,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3
,10,3,3,3,3,3,3,3,3,3,3,2,3,5,4,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3
,12,3,3,4,3,3,3,3,3,3,3,3,3,5,4,3
,13,3,3,4,3,4,4,4,3,4,3,3,3,5,5,4
,14,4,3,4,4,4,4*,4,4,4,3,4,4,6,5,4
,15,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4
,16,4,4,5,4,4,4*,4,4,4,4,4,4,6,5,4
,17,4,4,4,4,4,,4,4,4,4,4,4,7,6,4
,18,4,4,4,4,4,,4,4,4,4,4,4,6,6,4
,19,4,4,4,4,4,4,4,4,4,4,4,4,7,7,4
,20,4,4,4,4,4,4,4,4,4,4,4,4,7,8,4
,21,4,4,4,4,4,4,4,4,4,4,4,4,7,7,4
,22,4,3,4,4,4,4,4,4,4,4,4,4,6,6,4
,23,4,3,4,4,4,4,4,4,4,3,4,4,6,5,4
,24,4,3,4,4,4,3,4,4,4,3,3,3,5,5,4
2014-01-14,01,3,3,4,3,3,3,4,3,4,3,3,3,5,4,4
,02,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3
,03,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3
,04,3,3,3,3,3*,3*,3*,3,4*,3,3,3*,3,3,3
,05,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,06,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3
,07,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,08,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,5,6,4
,12,3,3,4,3,4,3,4,4,4,3,3,3,6,6,4
,13,3,3,4,4,4,4,4,4,4,3,4,4,6,6,4
,14,4,3,4,4,4,4,5,5,4,4,4,4,6,6,5
,15,4,4,5,5,5,5,5,5,5,4,5,4,6,6,5
,16,4,4,5,5,5,5,5,5,6,4,5,4,6,6,5
,17,5,4,5,5,5,5,5,5,6,4,5,4,6,6,5
,18,5,4,5,5,5,5,5,5,5,4,5,4,6,6,5
,19,5,4,5,5,5,5,5,5,5,4,4,4,6,8,5
,20,4,4,5,5,5,5,5,5,5,4,4,4,7,8,5
,21,4,4,4,4,5,4,4,4,4,4,4,4,7,8,5
,22,4,4,4,4,4,4,4,4,4,4,4,4,7,6,4
,23,4,3,4,4,4,4,4,4,4,4,4,4,7,5,4
,24,4,3,4,4,4,4,4,4,4,4,4,4,6,5,4
2014-01-15,01,4,3,4,4,4,4,4,4,4,3,4,4,6,5,4
,02,4,3,4*,4,4,4,4,4,3,3,4*,4,5,5,4
,03,4,3,4*,3,4,3,4,4,4,3,4*,4,4,4,3
,04,3,3,4*,4*,4*,3*,4*,4,4*,3,3*,2*,4,4,3
,05,3,3,4,3,3,3,,4,4,3,3,4,4,4,3
,06,3,3,3,3,3,3,,4,4,3,3,4,4,4,3
,07,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3
,08,3,3,3,3,4,3,4,4,4,3,3,4,4,4,3
,09,3,3,4,4,4,4,4,4,4,4,4,4,5,5,4
,10,3,3,4,4,4,4,4,4,4,4,4,4,6,6,4
,11,4,3,4,4,4,4,5,4,4,4,4,5,6,6,4
,12,4,4,4,4,4,4,5,5,4,,4,5,6,6,4
,13,4,4,5,4,4,4,,5,5,,4,5,5*,5,4
,14,4,4,5,4,4,4,,5,5,,4,5,5*,5,5
,15,4,4,5,4,5,5,,5,5,,5,5,5,5,5
,16,4,4,5,5,5,5,6,5,5,,5,5,5,5,5
,17,4,4,5,5,5,5,6,5,5,5,5,5,5,5,6
,18,4,4,5,5,5,5,5,4,5,5,5,5,5,6,6
,19,5,4,5,5,5,5,5,5,5,4,5,5,5,6,6
,20,5,4,5,5,5,5,5,5,5,4,5,5,5,6,6
,21,5,5,5,5,5,5,5,5,5,4,4,5,5,6,6
,22,5,5,5,5,5,5,5,5,5,4,4,5,5,6,6
,23,5,5,5,5,5,5,5,5,5,4,4,6,6,6,5
,24,5,4,5,5,5,5,5,5,5,4,5,6,6,5,5
2014-01-16,01,5,5,5,5,5,5,5,5,5,4,5,6,6,5,5
,02,5,4,5,5,4,5,5,5,5,5,5,6,5,5,5
,03,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5
,04,5,4,5,5,5*,5*,4*,4,4*,5,5,5*,4,5,4
,05,4,4,5,4,,5,5,4,4,4,4,5,4,4,4
,06,4,4,4,4,,4,4,4,4,4,4,5,4*,4,4
,07,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
,08,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4
,09,4,4,5,4,4,4,5,5,4,4,4,5,5,5,5
,10,4,4,5,5,5,4,5,5,4,5,4,5,6,6,5
,11,4,4,5,5,5,5,5,5,5,5,5,5,6,6,5
,12,4,4,5,5,5,5,6,5,5,5,5,5,6,6,5
,13,5,4,5,5,5,5,6,6,5,5,5,6,5,6,5
,14,5,4,5,5,5,5,6,5,5,5,5,5,6,6,6
,15,5,5,5,5,5,5,6,5,6,5,5,5,6,6,6
,16,5,5,5,5,5,5,6,5,6,5,5,,6*,6,6
,17,5,5,5,5,5,5,6,5,7,5,5,,6*,6,6
,18,5,5,5,5,5,5,5,5,7,5,5,,6*,6,6
,19,5,5,5,5,5,5,5,5,6,5,5,6,5*,6,6
,20,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
,21,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
,22,5,4,5,5,5,4,5,5,5,4,5,5,7,6,5
,23,5,4,5,5,5,4,5,5,4,4,4,4,6,6,5
,24,4,4,5,5,5,4,5,5,4,4,4,3,6,5,5
2014-01-17,01,4,4,4,5,4,4,4,5,4,4,4,3,5,5,5
,02,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,04,4,3,4,4,4*,4*,4*,4,4*,3,4,2*,4,4,4
,05,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4
,06,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4
,07,4,3,4,4,4,4,3,4,4,3,3,3,4,4,4
,08,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4
,09,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5
,10,4,4,5,4,5,4,4,4,4,4,4,3,6,6,5
